ville,lat,lon
Figuerola del Camp,41.3720741,1.2640635
Pont de Vilomara i Rocafort,41.7008286,1.8691118
Pratdip,41.0515188,0.8700972
Òdena,41.6068791,1.6422209
Fuliola,41.7143699,1.0187145
Alforja,41.2099763,0.9735531
Vielha e Mijaran,42.7017572,0.7954744
Cabra del Camp,41.3952451,1.275736
Forès,41.4941385,1.2363424
Navàs,41.8989233,1.8767736
Escala,41.6378899,2.1623879
Juià,42.0172969,2.9067184
Albons,42.1058271,3.0849746
Santa Maria d'Oló,41.8742425,2.0358546
Cabó,42.2391689,1.2469615
Granyena de Segarra,41.6238745,1.2461381
Bellmunt d'Urgell,41.7741855,0.9519865
Sant Miquel de Fluvià,42.1732143,2.9904591
Tàrrega,41.6472761,1.1409115
Tivissa,41.0416528,0.7331448
Franqueses del Vallès,41.6475034,2.3066306
Molar,40.0306472,-3.3187439
Odèn,42.1288885,1.4503494
Tarragona,41.1172364,1.2546057
Palau d'Anglesola,41.6594151,0.8557875
Vilanova de Meià,41.9956571,1.0239566
Fontanals de Cerdanya,42.3840589,1.9118567
Vilanova de l'Aguda,41.9113134,1.2523535
Brull,41.8168099,2.3052283
Mollerussa,41.6298226,0.8937727
Prades,41.3096688,0.9858701
Montmell,41.3151419,1.4519941
Ametlla de Mar,40.8838957,0.800957
Tivenys,40.9063633,0.5123178
Planoles,42.3148273,2.1029743
Santa Eulàlia de Riuprimer,41.9109533,2.1886023
Vidrà,42.1228239,2.3106778
Masquefa,41.5026351,1.8110722
Mont-ras,41.9080196,3.144796
Centelles,41.7981296,2.2218056
Pallejà,41.422188,1.9966632
Cassà de la Selva,41.8874685,2.8742461
Llagostera,41.8289064,2.8920386
Torroella de Montgrí,42.040982,3.1262041
Vinebre,41.1835005,0.5879484
Argelaguer,42.2145207,2.6414922
Sant Martí d'Albars,42.0281258,2.0742512
Riudellots de la Selva,41.8954981,2.8022296
Maià de Montcal,42.2221769,2.7431144
Banyoles,42.1180477,2.7653607
Gombrèn,42.2484304,2.0905975
Castellterçol,41.7503071,2.1230793
Garcia,41.1358922,0.6502117
